Year,ISO-3 code,Country,Number of commercial banks,Branches of commercial banks,Outstanding deposits with commercial banks,"Number of commercial bank branches per 1,000 km2","Number of commercial bank branches per 100,000 adults","Number of ATMs per 100,000 adults",Outstanding deposits with commercial banks (% of GDP)
2008,LVA,Latvia,27,658,6635.801,11.01357,36.60823,68.08596,27.25037
2009,LVA,Latvia,27,624,6296.266,10.4696,35.34816,71.67369,33.44347
2010,LVA,Latvia,29,587,7081.615,9.897172,34.18378,75.52619,39.47855
2011,LVA,Latvia,30,549,7115.009,9.308682,32.76503,68.30292,35.04454
2012,LVA,Latvia,29,400,7425.185,6.899325,24.63804,72.93778,33.92724
2013,LVA,Latvia,28,343,8458.944,5.965589,21.60074,68.52848,37.12247
2014,LVA,Latvia,27,319,8690.744,5.56449,20.39535,62.89549,36.79687
2015,LVA,Latvia,27,276,9305.41,4.87295,18.0539,63.03968,38.26187
2016,LVA,Latvia,23,261,10190,4.567385,17.09933,61.29266,40.69866
2017,LVA,Latvia,21,249,10688,4.342232,16.43302,61.83686,39.53678
2018,LVA,Latvia,20,219,11417,3.84368,14.69468,61.05363,38.67067
2004,LBN,Lebanon,53,799,6.83E+07,83.28446,26.05172,26.93846,214.1623
2005,LBN,Lebanon,54,825,7.16E+07,85.92375,25.94844,27.7787,221.1136
2006,LBN,Lebanon,54,830,7.74E+07,86.41251,25.50705,29.02726,232.7623
2007,LBN,Lebanon,54,847,8.70E+07,88.07429,25.64197,30.48007,231.9686
2008,LBN,Lebanon,53,861,9.99E+07,89.34506,25.67671,32.02566,226.7514
2009,LBN,Lebanon,53,885,1.19E+08,91.6911,25.76738,33.15696,223.2211
2010,LBN,Lebanon,54,912,1.34E+08,94.42815,25.56822,34.01156,230.9202
2011,LBN,Lebanon,54,948,1.42E+08,97.94721,25.21862,33.37315,235.6825
2012,LBN,Lebanon,54,962,1.52E+08,99.31574,24.0418,33.90935,228.148
2013,LBN,Lebanon,56,985,1.62E+08,101.7595,23.12759,33.68052,229.3341
2014,LBN,Lebanon,55,1020,1.72E+08,105.0831,22.60059,33.70117,235.6759
2015,LBN,Lebanon,53,1039,1.80E+08,106.7449,21.99198,34.37758,238.869
2016,LBN,Lebanon,50,1056,1.93E+08,108.1134,21.56176,34.95501,250.2737
2017,LBN,Lebanon,49,1065,2.01E+08,108.8954,21.26333,36.30417,249.5384
2018,LBN,Lebanon,49,1080,2.04E+08,110.3617,21.28638,37.67067,239.1522
2004,LSO,Lesotho,4,26,1576,0.9881423,2.484604,2.733064,16.14426
2005,LSO,Lesotho,4,25,1831,0.9552042,2.397879,3.638162,17.11443
2006,LSO,Lesotho,3,21,3123,0.7905138,1.973657,3.782842,25.62059
2007,LSO,Lesotho,3,23,3860,0.85639,2.125913,4.824187,31.92257
2008,LSO,Lesotho,3,25,4543,0.9222661,2.274627,5.686568,31.27149
2009,LSO,Lesotho,3,26,4910,0.9552042,2.337724,6.610115,32.67765
2010,LSO,Lesotho,4,39,5550,1.416337,3.435224,7.349781,32.09977
2011,LSO,Lesotho,4,40,5964,1.449275,3.481456,8.149772,29.46117
2012,LSO,Lesotho,4,40,6371,1.449275,3.442947,9.311606,28.97188
2013,LSO,Lesotho,4,44,7823,1.581028,3.710899,11.05539,32.07611
2014,LSO,Lesotho,4,44,8088,1.581028,3.665888,11.53227,28.50386
2015,LSO,Lesotho,4,47,9352,1.679842,3.849245,13.43462,29.19869
2016,LSO,Lesotho,4,49,8793,1.745718,3.961971,15.24985,25.72815
2017,LSO,Lesotho,4,49,11066,1.745718,3.922338,15.02329,32.18912
2018,LSO,Lesotho,4,49,17440.15,1.745718,3.882997,14.94588,47.1796
2004,LBR,Liberia,4,0,0,0,0,0,0
2005,LBR,Liberia,5,0,0,0,0,0,0
2006,LBR,Liberia,5,11,0,0.166113,0.837191,0,0
2007,LBR,Liberia,5,17,8.922077,0.2284053,1.107118,0,1.207273
2008,LBR,Liberia,6,28,13.59931,0.35299,1.641916,1.158999,1.599842
2009,LBR,Liberia,7,56,18.66237,0.6540698,2.923066,1.53113,1.615583
2010,LBR,Liberia,7,74,25.31526,0.8409468,3.6214,1.475385,1.958329
2011,LBR,Liberia,8,78,35.83513,0.8928571,3.723353,1.428729,2.318826
2012,LBR,Liberia,8,79,37.789,0.9032392,3.657295,1.345212,2.177413
2013,LBR,Liberia,9,84,48.22991,0.9655316,3.800884,1.634789,2.477776
2014,LBR,Liberia,9,85,48.428,0.9759136,3.734183,1.787641,2.405763
2015,LBR,Liberia,0,0,0,0,0,0,0
2016,LBR,Liberia,0,0,0,0,0,0,0
2017,LBR,Liberia,0,0,0,0,0,0,0
2018,LBR,Liberia,0,0,0,0,0,0,0
2004,LBY,Libya,9,339,10908.8,0.197779,8.805619,3.491883,25.33454
2005,LBY,Libya,9,350,13782.5,0.2040306,8.865476,3.407899,22.25425
2006,LBY,Libya,12,428,17359.1,0.2500654,10.63176,3.406997,24.04374
2007,LBY,Libya,15,438,24767,0.2574537,10.72437,3.385397,29.05356
2008,LBY,Libya,15,444,41531,0.2608636,10.67055,3.440613,38.95053
2009,LBY,Libya,15,458,48673,0.2688203,10.83314,3.527068,61.60671
2010,LBY,Libya,15,478,55313,0.2801869,11.16536,3.465111,58.39448
2011,LBY,Libya,15,481,58480,0.2818919,11.18757,3.496115,137.668
2012,LBY,Libya,15,493,68346.2,0.2887118,11.45442,3.878269,66.16283
2013,LBY,Libya,16,515,83562.7,0.3017834,11.98609,3.8825,100.3154
2014,LBY,Libya,16,516,78910.4,0.3023518,12.00208,3.880373,150.7362
2015,LBY,Libya,17,516,71257.2,0.3029201,11.97315,3.863755,176.2293
2016,LBY,Libya,17,521,83407.6,0.3057617,11.94222,3.817959,186.1426
2017,LBY,Libya,18,522,95938.4,0.3068984,11.79152,3.755819,135.8252
2018,LBY,Libya,0,0,0,0,0,0,0
2004,LTU,Lithuania,12,651,4591.57,10.57754,23.76416,36.27349,25.17622
2005,LTU,Lithuania,12,693,6322.757,11.24761,25.4951,38.18841,30.105
2006,LTU,Lithuania,11,754,7736.365,12.20485,27.95039,41.87078,32.12886
2007,LTU,Lithuania,13,801,9593.572,12.9866,29.93346,49.05557,33.03496
2008,LTU,Lithuania,17,787,9557.308,12.82808,29.72214,54.37969,29.23057
2009,LTU,Lithuania,17,776,9989.653,12.65257,29.51531,57.43017,37.08825
2010,LTU,Lithuania,17,750,10831.63,12.23773,29.05354,59.50861,38.64621
2011,LTU,Lithuania,18,473,11083.2,7.83419,18.99553,50.48711,35.43754
2012,LTU,Lithuania,18,474,11918.37,7.850145,19.27286,51.8252,35.73888
2013,LTU,Lithuania,15,442,12468.2,7.291584,18.07642,49.87825,35.66454
2014,LTU,Lithuania,15,392,14229.01,6.496409,16.23984,51.19339,38.91079
2015,LTU,Lithuania,13,348,15010.24,5.762171,14.55115,49.01441,40.09797
2016,LTU,Lithuania,13,316,16086.15,5.252067,13.44588,48.26622,41.4064
2017,LTU,Lithuania,12,316,17287,5.236103,13.6148,46.73861,40.97336
2018,LTU,Lithuania,12,261,19385,4.358098,11.51293,47.19036,42.96908
2004,LUX,Luxembourg,160,253,23450.56,169.9588,110.9389,106.641,83.94531
2005,LUX,Luxembourg,153,246,27073.42,164.1975,105.4066,106.9917,90.15147
2006,LUX,Luxembourg,154,234,33163.44,159.6708,100.6193,105.5465,98.09219
2007,LUX,Luxembourg,154,229,38625.5,157.6132,97.54706,105.9519,103.891
2008,LUX,Luxembourg,150,229,37374.89,155.9671,94.58589,107.3138,98.02328
2009,LUX,Luxembourg,147,225,39740.96,153.0864,90.93198,107.0651,107.4762
2010,LUX,Luxembourg,145,225,37041.34,152.2634,88.62148,105.6272,92.19353
2011,LUX,Luxembourg,142,226,36466.66,151.4403,85.94878,106.0346,84.4827
2012,LUX,Luxembourg,142,223,38235.67,150.2058,82.96718,100.6972,86.67844
2013,LUX,Luxembourg,147,222,42697.02,151.8519,81.69989,97.86274,91.82241
2014,LUX,Luxembourg,148,221,49984,151.8519,79.54884,105.2028,100.3201
2015,LUX,Luxembourg,143,223,46621,150.6173,76.83991,108.3317,90.38781
2016,LUX,Luxembourg,141,230,48820,152.6749,76.26401,110.7987,91.58954
2017,LUX,Luxembourg,139,217,52421,146.5021,71.44577,115.999,94.79492
2018,LUX,Luxembourg,135,210,56260,141.9753,67.95793,117.3998,95.56777
2004,MDG,Madagascar,7,103,1431612,0.1891529,1.120913,0.2751332,17.55379
2005,MDG,Madagascar,7,106,1570007,0.1943117,1.114616,0.5819677,15.55412
2006,MDG,Madagascar,7,112,1973398,0.2046291,1.136313,0.7448099,16.70009
2007,MDG,Madagascar,8,129,2409077,0.2355814,1.266557,0.9984534,17.50817
2008,MDG,Madagascar,8,141,2938487,0.2562163,1.333434,1.226044,18.27315
2009,MDG,Madagascar,10,153,3149938,0.2802903,1.411275,1.333352,18.83228
2010,MDG,Madagascar,11,164,3345962,0.3009251,1.464928,1.39796,18.33893
2011,MDG,Madagascar,11,178,3764322,0.3248567,1.530436,1.562826,18.78978
2012,MDG,Madagascar,11,195,4106861,0.3540766,1.612536,1.714298,18.86166
2013,MDG,Madagascar,11,211,4043247,0.3815744,1.679371,1.800407,17.28103
2014,MDG,Madagascar,11,249,4472603,0.446889,1.901109,2.047348,17.3528
2015,MDG,Madagascar,11,281,5451076,0.5018907,2.064743,2.283945,19.06983
2016,MDG,Madagascar,11,311,6379903,0.5534548,2.203255,2.552218,20.08205
2017,MDG,Madagascar,11,339,7448058,0.6015813,2.318711,2.795703,20.78451
2018,MDG,Madagascar,0,0,0,0,0,0,0
2004,MWI,Malawi,10,56,41963,0.7000424,0.978677,0.741422,11.08478
2005,MWI,Malawi,10,55,43241.9,0.6894357,0.9355869,1.453758,9.988199
2006,MWI,Malawi,10,56,49381.4,0.7000424,0.9209281,1.395346,9.081057
2007,MWI,Malawi,10,132,80120.1,1.506152,1.920323,1.474051,12.91381
2008,MWI,Malawi,12,152,133140.1,1.739499,2.148611,1.716269,17.80607
2009,MWI,Malawi,12,165,168359.3,1.877387,2.244409,2.574096,19.26347
2010,MWI,Malawi,12,218,183294.4,2.439542,2.819475,2.917543,17.50102
2011,MWI,Malawi,13,75,297835.3,0.9333899,1.043476,3.747026,23.77452
2012,MWI,Malawi,13,266,347107.9,2.95927,3.193364,4.223481,23.11383
2013,MWI,Malawi,12,275,475700,3.044124,3.167595,4.536172,23.65348
2014,MWI,Malawi,12,283,0,3.128978,3.140882,4.780529,0
2015,MWI,Malawi,13,297,706158,3.288078,3.187152,4.924663,22.17767
2016,MWI,Malawi,0,0,0,0,0,0,0
2017,MWI,Malawi,0,0,0,0,0,0,0
2018,MWI,Malawi,0,0,0,0,0,0,0
2004,MYS,Malaysia,25,2412,452584,7.41744,14.03883,27.12138,95.472
2005,MYS,Malaysia,29,2225,532859.6,6.860447,12.61622,27.38178,98.02818
2006,MYS,Malaysia,32,2120,610987.9,6.549992,11.73155,28.21677,102.3802
2007,MYS,Malaysia,33,2125,674249.9,6.568254,11.45881,38.69339,101.3392
2008,MYS,Malaysia,39,2140,753122.5,6.632172,11.27239,41.40106,97.81472
2009,MYS,Malaysia,39,2167,814743,6.714351,11.12327,51.82457,114.2926
2010,MYS,Malaysia,40,2179,872683.8,6.753919,10.91534,53.51911,106.2391
2011,MYS,Malaysia,41,2302,1008337,7.131335,11.23971,53.56014,110.5957
2012,MYS,Malaysia,43,2333,1088992,7.231776,11.13535,53.21162,112.1225
2013,MYS,Malaysia,43,2344,1122384,7.265256,10.94624,54.58444,110.1874
2014,MYS,Malaysia,43,2359,1184909,7.310912,10.78941,52.29853,107.0917
2015,MYS,Malaysia,43,2381,1226795,7.377872,10.67175,51.18391,105.8939
2016,MYS,Malaysia,43,2368,1244002,7.338305,10.42381,48.89374,101.0546
2017,MYS,Malaysia,43,2364,1298458,7.32613,10.22417,47.53155,95.94186
2018,MYS,Malaysia,42,2412,1378888,7.469183,10.2466,46.62745,96.43636
2004,MDV,Maldives,5,16,5121.843,70,10.10072,7.214799,32.6161
2005,MDV,Maldives,5,17,5750.798,73.33333,10.05797,7.314888,38.61919
2006,MDV,Maldives,5,22,6950.578,90,11.79353,6.988761,34.47269
2007,MDV,Maldives,5,24,8951.617,96.66667,12.13501,17.15639,37.43049
2008,MDV,Maldives,6,25,10639.78,103.3333,12.43926,16.45192,36.59165
2009,MDV,Maldives,6,26,12081.64,106.6667,12.29573,16.90663,40.24561
2010,MDV,Maldives,6,26,14334.52,106.6667,11.73954,16.50873,43.26925
2011,MDV,Maldives,7,26,17326.92,110,11.52915,16.4203,42.77082
2012,MDV,Maldives,7,27,17943.72,113.3333,11.29944,19.27551,40.46351
2013,MDV,Maldives,7,27,20956.07,113.3333,10.74898,20.23338,41.38779
2014,MDV,Maldives,7,28,24541.44,116.6667,10.53481,23.47757,43.15605
2015,MDV,Maldives,7,29,27550.94,120,10.33242,23.82196,43.63009
2016,MDV,Maldives,8,37,27729.92,150,12.35975,26.36747,40.8773
2017,MDV,Maldives,8,44,28822.83,173.3333,13.67716,30.7736,38.49914
2018,MDV,Maldives,8,46,29515.97,180,13.66262,33.1445,36.37447
2004,MLI,Mali,10,151,641734,0.1319467,2.447978,0,22.31161
2005,MLI,Mali,11,158,678515,0.138503,2.489434,0,20.59817
2006,MLI,Mali,12,173,784489,0.1516157,2.647318,0,21.74403
2007,MLI,Mali,13,202,891673,0.1762021,2.984472,0,22.84021
2008,MLI,Mali,13,200,943583,0.174563,2.866204,0,21.60974
2009,MLI,Mali,13,234,1161434,0.2024275,3.222055,0,24.1596
2010,MLI,Mali,13,276,1337854,0.2368484,3.655748,2.719674,25.29532
2011,MLI,Mali,13,333,1457233,0.2835624,4.264175,3.241266,23.79572
2012,MLI,Mali,13,389,1531129,0.3294569,4.823858,3.383901,24.10331
2013,MLI,Mali,14,419,1702826,0.3548628,5.055021,4.004324,26.02016
2014,MLI,Mali,14,483,2011442,0.4073136,5.638968,4.300139,28.35896
2015,MLI,Mali,14,536,2378392,0.4507495,6.056976,4.460137,30.69808
2016,MLI,Mali,13,557,2528527,0.4671404,6.082401,4.695187,30.43297
2017,MLI,Mali,13,486,2745323,0.4089527,5.154482,4.875582,30.74577
2018,MLI,Mali,14,489,0,0.4122309,5.024664,4.714993,0
2004,MLT,Malta,16,112,6165.338,400,38.9898,45.38656,126.6711
2005,MLT,Malta,19,112,6404.205,409.375,39.43241,45.15162,124.5445
2006,MLT,Malta,18,108,6800.023,393.75,37.48773,41.35551,126.2513
2007,MLT,Malta,22,109,7884.331,409.375,38.57718,46.82268,136.9402
2008,MLT,Malta,23,115,8009.943,431.25,40.14172,47.41377,130.6956
2009,MLT,Malta,24,116,8095.866,437.5,40.20424,48.81943,131.8846
2010,MLT,Malta,26,113,8671,434.375,39.52468,52.32044,131.3887
2011,MLT,Malta,26,121,9200,459.375,41.53106,55.37474,134.6056
2012,MLT,Malta,26,110,9679,425,37.99435,60.34396,134.9994
2013,MLT,Malta,26,112,10537,431.25,37.94023,58.83485,137.8128
2014,MLT,Malta,26,112,11758,431.25,37.13671,55.43595,138.2803
2015,MLT,Malta,31,111,13215,443.75,37.27954,55.39424,136.9448
2016,MLT,Malta,27,107,13947,418.75,34.38119,55.16385,134.8302
2017,MLT,Malta,25,104,14649,403.125,32.21159,54.93449,129.4849
2018,MLT,Malta,24,99,15632,384.375,29.74118,52.71201,126.885
2004,MHL,"Marshall Islands, Republic of",2,2,74.9,22.22222,11.79754,0,57.02991
2005,MHL,"Marshall Islands, Republic of",2,2,74.3,22.22222,11.80184,0,53.86845
2006,MHL,"Marshall Islands, Republic of",2,2,75.5,22.22222,11.79663,0,52.45606
2007,MHL,"Marshall Islands, Republic of",2,3,85.5,27.77778,14.7291,2.94582,56.70645
2008,MHL,"Marshall Islands, Republic of",2,4,87,33.33333,17.64751,2.941251,56.94138
2009,MHL,"Marshall Islands, Republic of",2,4,93.3,33.33333,17.6131,2.935517,61.13323
2010,MHL,"Marshall Islands, Republic of",2,4,102.1,33.33333,17.57782,2.929637,61.89038
2011,MHL,"Marshall Islands, Republic of",2,5,98.2,38.88889,20.4618,5.846227,56.67773
2012,MHL,"Marshall Islands, Republic of",2,5,85,38.88889,20.41478,5.832795,45.89373
2013,MHL,"Marshall Islands, Republic of",2,5,98.4,38.88889,20.36451,5.818432,51.57211
2014,MHL,"Marshall Islands, Republic of",2,5,118.9,38.88889,20.32409,5.806883,64.92964
2015,MHL,"Marshall Islands, Republic of",2,5,155.5,38.88889,20.28727,5.796363,86.53412
2016,MHL,"Marshall Islands, Republic of",2,5,183.3388,38.88889,20.25975,5.788499,94.2626
2017,MHL,"Marshall Islands, Republic of",2,5,227.208,38.88889,14.41991,6.17996,111.2819
2018,MHL,"Marshall Islands, Republic of",2,5,219.7,38.88889,14.06922,6.029666,103.8655
2004,MRT,Mauritania,8,0,96140.07,0,0,0,19.78749
2005,MRT,Mauritania,8,0,109365.7,0,0,0,18.85512
2006,MRT,Mauritania,9,0,118598.8,0,0,0,14.52105
2007,MRT,Mauritania,10,66,150355.1,0.0737363,3.938659,0,17.32176
2008,MRT,Mauritania,10,72,177375.2,0.0795576,4.118207,0,18.47256
2009,MRT,Mauritania,10,75,208358,0.0824682,4.135273,0,21.68459
2010,MRT,Mauritania,12,76,236021,0.0853789,4.145419,0,19.72148
2011,MRT,Mauritania,12,78,283097,0.0873193,4.104504,4.104504,19.4923
2012,MRT,Mauritania,12,92,315829,0.1009023,4.589745,4.545613,20.35381
2013,MRT,Mauritania,15,138,351549.4,0.1484428,6.53336,6.27715,20.73069
2014,MRT,Mauritania,15,149,396889.3,0.1591152,6.777442,7.645285,24.40179
2015,MRT,Mauritania,15,163,404222,0.1726982,7.121695,9.082162,25.76315
2016,MRT,Mauritania,16,198,437934,0.2076259,8.307089,9.704543,26.28674
2017,MRT,Mauritania,17,204,525018,0.2144174,8.322967,0,29.22096
2018,MRT,Mauritania,0,0,0,0,0,0,0
2004,MUS,Mauritius,20,146,187512.3,81.7734,18.14073,30.92666,103.6504
2005,MUS,Mauritius,19,150,227352.1,83.25123,18.27924,33.85445,118.7878
2006,MUS,Mauritius,19,155,317827.5,85.71429,18.64518,34.93293,142.6067
2007,MUS,Mauritius,19,160,357658.7,88.17734,18.95307,38.96497,140.1424
2008,MUS,Mauritius,18,169,400195.8,92.11823,19.55484,38.06397,140.7881
2009,MUS,Mauritius,18,186,443880.5,100.4926,21.09934,39.50954,152.141
2010,MUS,Mauritius,19,189,519792.5,102.4631,21.31145,40.88111,168.7874
2011,MUS,Mauritius,20,193,508262.8,104.9261,21.61192,43.42678,153.7177
2012,MUS,Mauritius,20,198,537347.6,107.3892,21.91074,44.32401,153.2459
2013,MUS,Mauritius,21,202,556518,109.8522,22.23793,44.87475,149.4421
2014,MUS,Mauritius,23,204,624325.7,111.8227,22.47029,45.03956,159.2416
2015,MUS,Mauritius,23,198,693960.2,108.867,21.71657,45.59498,169.3028
2016,MUS,Mauritius,23,186,715415.9,102.9557,20.3989,44.50669,164.5523
2017,MUS,Mauritius,21,171,764177,94.58128,18.60315,43.50425,167.1425
2018,MUS,Mauritius,20,158,592207,87.68473,17.12604,43.19995,122.7222
2004,MEX,Mexico,30,7797,1647828,4.026338,11.12492,29.01832,18.66515
2005,MEX,Mexico,31,7990,1695033,4.126135,11.17599,31.90751,17.72556
2006,MEX,Mexico,37,8415,1800699,4.347848,11.52162,35.01606,16.93829
2007,MEX,Mexico,40,9458,2070140,4.885928,12.66437,39.11181,17.99484
2008,MEX,Mexico,43,10354,2404798,5.348389,13.559,41.64335,19.46599
2009,MEX,Mexico,41,11066,2467967,5.713624,14.16984,43.12188,20.29117
2010,MEX,Mexico,41,11648,2746818,6.013015,14.5942,45.35827,20.5502
2011,MEX,Mexico,42,11911,2964687,6.148821,14.6155,45.00077,20.21528
2012,MEX,Mexico,43,12896,3219261,6.656035,15.50472,48.85441,20.3522
2013,MEX,Mexico,48,13094,3424998,6.760462,15.44233,48.7264,21.04171
2014,MEX,Mexico,45,13259,3816826,6.843797,15.33677,50.39438,21.84308
2015,MEX,Mexico,44,12831,4290853,6.623113,14.56763,52.78065,23.12946
2016,MEX,Mexico,47,13117,4825783,6.771779,14.63731,54.42291,23.98895
2017,MEX,Mexico,48,13331,5273627,6.882379,14.6215,55.41394,24.05715
2018,MEX,Mexico,50,13380,5722176,6.908614,14.4311,58.57757,24.30548
2004,FSM,"Micronesia, Federated States of",2,6,119.512,11.42857,12.33388,3.08347,49.77655
2005,FSM,"Micronesia, Federated States of",2,6,117.937,11.42857,12.31717,3.079292,47.14663
2006,FSM,"Micronesia, Federated States of",2,6,116.613,11.42857,12.3297,3.082424,46.02437
2007,FSM,"Micronesia, Federated States of",2,6,122.359,11.42857,12.36438,3.091095,47.69437
2008,FSM,"Micronesia, Federated States of",2,6,128.307,11.42857,12.39676,3.09919,48.81032
2009,FSM,"Micronesia, Federated States of",2,8,144.316,14.28571,15.48707,3.097414,51.54756
2010,FSM,"Micronesia, Federated States of",2,8,156.737,14.28571,15.39978,9.239867,52.85788
2011,FSM,"Micronesia, Federated States of",2,8,172.342,14.28571,15.17197,9.103185,55.50429
2012,FSM,"Micronesia, Federated States of",2,8,194.3,14.28571,14.8783,14.8783,59.57771
2013,FSM,"Micronesia, Federated States of",2,8,220,14.28571,14.54651,14.54651,69.61131
2014,FSM,"Micronesia, Federated States of",2,8,244,14.28571,14.22151,14.22151,76.7297
2015,FSM,"Micronesia, Federated States of",2,8,234,14.28571,13.92835,13.92835,74.24336
2016,FSM,"Micronesia, Federated States of",2,8,284,14.28571,13.65635,13.65635,86.08784
2017,FSM,"Micronesia, Federated States of",2,8,298,14.28571,13.41436,13.41436,88.57778
2018,FSM,"Micronesia, Federated States of",2,8,326,14.28571,13.19853,13.19853,94.62941
2004,MDA,Moldova,16,850,8047.409,26.3382,29.80933,7.744918,25.1232
2005,MDA,Moldova,16,928,10592.4,28.70173,32.22378,10.58196,28.13247
2006,MDA,Moldova,15,966,13556.11,29.8267,33.33512,12.7088,30.29002
2007,MDA,Moldova,16,1044,19610.33,32.22864,35.88893,15.43901,36.70315
2008,MDA,Moldova,16,1164,22950.11,35.87717,39.84461,19.6184,36.47417
2009,MDA,Moldova,15,1146,22804.39,35.29948,39.11257,23.31258,37.73699
2010,MDA,Moldova,15,1160,25751.32,35.76865,39.51257,25.75883,29.84782
2011,MDA,Moldova,15,1248,32632.1,38.44749,42.35992,28.5418,33.03753
2012,MDA,Moldova,14,1263,39771,38.86184,42.72769,30.91651,37.70471
2013,MDA,Moldova,14,1285,51889.94,39.5073,43.39641,33.57459,43.41061
2014,MDA,Moldova,14,1338,46739.34,41.13173,45.14101,36.12617,35.01556
2015,MDA,Moldova,11,814,47127,25.09124,27.54448,32.4858,32.33333
2016,MDA,Moldova,11,804,51799.91,24.77957,27.22401,34.94026,32.21096
2017,MDA,Moldova,11,794,59896.89,24.47552,26.91807,36.74902,33.48423
2018,MDA,Moldova,11,794,63368.68,24.47552,26.95359,38.10334,33.34907
2004,MNG,Mongolia,16,684,703802.9,0.450578,40.0118,0,29.80754
2005,MNG,Mongolia,16,732,1017410,0.4814748,41.65896,0,33.45196
2006,MNG,Mongolia,16,832,1349899,0.5458431,46.10658,0,33.51655
2007,MNG,Mongolia,16,981,2122358,0.6417518,53.0522,0,42.81841
2008,MNG,Mongolia,16,1080,1935935,0.7054765,57.19203,9.862494,29.53115
2009,MNG,Mongolia,15,1044,2590179,0.6816602,54.25333,14.95937,39.30089
2010,MNG,Mongolia,14,1070,4259304,0.6977523,54.56043,18.47203,43.65567
2011,MNG,Mongolia,14,1310,5843640,0.8522362,65.61888,31.42173,44.35817
2012,MNG,Mongolia,14,1382,6614266,0.8985813,68.16193,44.67634,39.63387
2013,MNG,Mongolia,13,1455,7800754,0.9449265,70.66233,49.67543,40.6835
2014,MNG,Mongolia,14,1486,8793097,0.9655243,71.21226,58.34657,39.56033
2015,MNG,Mongolia,14,1482,8654825,0.9629496,70.05425,72.3488,37.38523
2016,MNG,Mongolia,14,1492,1.12E+07,0.9693864,69.69963,87.79562,46.85997
2017,MNG,Mongolia,14,1511,1.40E+07,0.9816164,69.63486,92.73994,50.08124
2018,MNG,Mongolia,14,1512,1.79E+07,0.9822601,68.68732,106.1368,55.74236
2004,MNE,Montenegro,10,93,170.734,7.657993,21.09497,0,10.22492
2005,MNE,Montenegro,10,113,305.844,9.144981,25.08602,14.27659,16.85096
2006,MNE,Montenegro,10,124,749.665,9.962825,27.24474,26.02483,34.55268
2007,MNE,Montenegro,11,160,1527.521,12.71375,34.64891,40.11979,56.8036
2008,MNE,Montenegro,11,196,1285.112,15.39033,41.77152,53.07202,41.41072
2009,MNE,Montenegro,11,206,1170.35,16.13383,43.58139,60.04993,39.09134
2010,MNE,Montenegro,11,188,1248.304,14.79554,39.78265,64.17202,39.94459
2011,MNE,Montenegro,11,191,1324.638,15.01859,40.27675,66.19744,40.57356
2012,MNE,Montenegro,11,193,1442.108,15.16729,40.56432,69.59565,45.32824
2013,MNE,Montenegro,11,203,1527.35,15.91078,42.42135,71.56124,45.42329
2014,MNE,Montenegro,12,200,1673.814,15.76208,41.89491,70.94469,48.40521
2015,MNE,Montenegro,14,204,1871.306,16.20818,42.97099,76.08625,51.20536
2016,MNE,Montenegro,15,210,2067.818,16.72862,44.23552,77.85452,52.29406
2017,MNE,Montenegro,15,207,2351.808,16.50558,43.56238,80.8455,54.70478
2018,MNE,Montenegro,15,207,2426.963,16.50558,43.49717,86.79841,52.54212
2004,MSR,Montserrat,3,3,120.331,0,0,0,0
2005,MSR,Montserrat,2,2,124.769,0,0,0,0
2006,MSR,Montserrat,2,2,134.971,0,0,0,0
2007,MSR,Montserrat,2,2,135.504,0,0,0,0
2008,MSR,Montserrat,2,2,140.929,0,0,0,0
2009,MSR,Montserrat,2,2,155.028,0,0,0,0
2010,MSR,Montserrat,2,2,155.591,0,0,0,0
2011,MSR,Montserrat,2,2,162.751,0,0,0,0
2012,MSR,Montserrat,2,2,187.326,0,0,0,0
2013,MSR,Montserrat,2,2,183.876,0,0,0,0
2014,MSR,Montserrat,2,2,206.462,0,0,0,0
2015,MSR,Montserrat,2,2,213.536,0,0,0,0
2016,MSR,Montserrat,2,2,211.28,0,0,0,0
2017,MSR,Montserrat,2,1,204.619,0,0,0,0
2018,MSR,Montserrat,2,1,210,0,0,0,0
2004,MAR,Morocco,17,2033,325531,4.593323,9.904145,8.343638,61.56457
2005,MAR,Morocco,16,2223,371389,5.016805,10.61706,14.8563,67.19894
2006,MAR,Morocco,16,2452,434896,5.529913,11.49329,12.85311,72.03399
2007,MAR,Morocco,16,2748,515007,6.193144,12.63016,14.27062,79.53408
2008,MAR,Morocco,18,3138,572294,7.071477,14.14637,16.26653,79.82242
2009,MAR,Morocco,19,4425,625206,9.957428,19.55327,18.23329,83.52975
2010,MAR,Morocco,19,4787,647503,10.76854,20.78123,19.65266,82.52399
2011,MAR,Morocco,19,5113,677248,11.49899,21.80043,21.34166,82.58346
2012,MAR,Morocco,19,5447,696640,12.24737,22.83986,22.88165,82.16247
2013,MAR,Morocco,19,5711,722252.7,12.8389,23.57321,24.24379,80.43593
2014,MAR,Morocco,19,5915,769769.8,13.29599,24.03857,25.25386,83.18455
2015,MAR,Morocco,19,6139,819212.1,13.79789,24.5575,26.03701,82.9204
2016,MAR,Morocco,19,6283,854080.5,14.12055,24.77087,26.81087,84.26549
2017,MAR,Morocco,24,6390,901412.2,14.3715,24.82718,27.18449,84.7752
2018,MAR,Morocco,24,6503,925080,14.62469,24.87064,27.77418,83.17501
2004,MOZ,Mozambique,11,188,28029.21,0.2530583,1.834253,1.926426,18.1688
2005,MOZ,Mozambique,12,218,36286.26,0.2924795,2.061364,2.231651,20.37185
